text,gender,catatan
Thanks Vincent R. Photog for the follow!,female,"Gaya percakapan ringan, berterima kasih."
Photo: #raabs-an-der-thaya Holiday in the Waldviertel raabs-an-der-thaya Raabs an der ��_:... https://t.co/b7p6zbmh1P,female,"Gaya deskriptif, berbagi pengalaman foto."
@LikeImTayha IGht got you about to dm you the credits thing hold on real quick driving real quick got to log in my bmi,male,"percakapan santai, penggunaan slang dan singkatan."
Dharma Bums. Better than On The Road...making the bold statements today. So brave of me. https://t.co/Riy6HPzvdD,male,"Gaya opini, sedikit sarkas, bercanda."
"Following #WWEHIAC and ahead of #RAW tonight, here's how I'd book @WWEBrayWyatt to be a monster by Wrestlemania 32 https://t.co/HZAOQcVSm8",male,"Gaya serius, berbicara tentang WWE, analisis."
For the best vpn exponent in order to yours crew wants: OcQGIh,male,"Gaya teknis, tidak jelas, singkat"
Photo: The back of the pumpkin me and Lily did. #Halloween #pumpkin #pumpkin carving https://t.co/rPq2AkBWbh,female,"Gaya berbagi pengalaman, sedikit deskripsi visual"
Mlg time on the bus https://t.co/t9Re2aVYcM,male,"santai, sedikit slang, ekspresi ringan"
Listen: @harry_square - The Pig Hunter (@burakandemre Rmx) on #RenaissancePodcast 22/10/15 https://t.co/BS9DfvBpiv #dj #EDM #madeinitaly,male,"informatif, berbagi musik, agak profesional"
I added a video to a @YouTube playlist https://t.co/jtVSol8JK0 JEM REACTS - to the new Jem And The Holograms Trailer,male,"berbagi konten, sedikit informal"
Seems as though someone has something in the works. https://t.co/bcCWHS3xBd,male,"percakapan ringan, tidak ada ekspresi emosional kuat"
The House science committee is worse than the Benghazi committee https://t.co/KhdezWHpVG,male,"kritik sosial, opini politik"
The best thing in the world is knowing I'm yours and you're mine.,female,"romantis, penuh emosi, ekspresif"
@Samd96 and we have to listen to Christmas carols the whole way there,female,"percakapan santai, berbagi pengalaman sosial"
@Harley_B_X THE LITTLE SMILEY FACE,female,"ekspresif, pakai capslock"
Oomf is so cute without the E I swear boy.,female,"percakapan ringan, ekspresi emosional"
@Sheeb_ @moni_2698 PEEP ME IN THE BACK,female,"percakapan, slang, ekspresif, capslock"
@HunterFSU06 I say it CAPS bcus it's  simple and being made complicated. Actually performing is a big part of winning. ALL OF THE ABOVE.,male,"serius, penuh pernyataan yang jelas, maskulin, tegas"
Where was I when the good ones were being taken??,female,"refleksi, sedikit keluhan"
#mcg #cmk the movement fr ' and stop all this fake claiming yall ain't with the gang _�����_���_�ɡ_٠�,female,ekspresif dan informal
"i wish it was""@Valkyrie_Law: Um sure the feeling is no mutual lol https://t.co/0N0oHZ2bxl""",female,"bercanda, sedikit sarkastik"
You'll pull back when a man says our out of line but when the woman your dissing does you don't care :-/,female,"kritik, ada tanda :-/ (sedikit emosional)"
Happy Happy Happy belated Birthday to the one and only #DirtyDonnieDamnit Kristian Bruun!!! @thebruun��_ https://t.co/53iDwuehee,female,"Ekspresif, penuh perasaan, dan ucapan selamat."
Our table mates in the beautiful room @BARNSTAPLEHOTEL for @NDJournal #FoodDrinkAndTourismAwards https://t.co/yrQX0zf60W,female,"berbagi pengalaman sosial, sedikit formal"
@4allthingsnice I was actually going to make a calendar from all the cat pics I had from my time in Greece. I had so many. :) #travelpics,female,"berbagi, santai, ada emoji."
"12 weeks to the day since I had one of the best days with @dickiewelch.

It absolutely cannot be 3 months before the next time. _���",female,"Ekspresif, penuh perasaan, tanda seru, emoji"
Triggered Email: The Killer Conversion App: Marketers have been using ���spray and pray�۝ tactics for decades. Th... https://t.co/nyxhRMML2P,male,"bisnis, topik profesional, serius"
"@Moratwe_ lol, so you'll hit the low notes _���_���",female,"emoji, gaya bercanda, santai"
https://t.co/qidHIp7tZl One of the greatest unsolved mysteries of all time! #TheZodiacKiller. https://t.co/AlTtzU5iTV,male,"berbagi info, serius, penuh misteri."
The most badass car to date  https://t.co/Ki4dD1Va8W,male,"informatif, netral, lebih maskulin."
pqp  @onedirection Artist Of The Year #AMAs https://t.co/AkjznrhCMc,female,"ekspresif, penuh pujian."
The revelation re the mp3 pugilist yet whichever in order to attend since continuity buy conjoint:: mbcQOVo,male,"Spam/iklan acak, nada netral"
@MosDef____ @FamousAss_Cj go to the one in Clinton.,male,"Instruksi singkat, maskulin"
"Photo: The News from Lake Wobegon from a Prairie Home Companion, August 28, 2010 - Garrison Keillor | ��_:... https://t.co/ZFMmFx0SX6",male,"Referensi seni/pertunjukan, formal"
@kjinwoos tru but tbh they all left for pretty much the same reason so ppl should either be against all of them or with all of them like ???,female,"Nada fandom, emosional, ekspresif"
Remember the time you wanted us to race in Mexico but the police pulled up... You decided to burn out in their face so they'd chase you...,male,"Cerita aksi/kenakalan, nada maskulin"
I liked a @YouTube video https://t.co/up1wGjyapP Artists Reveal the Satanic Industry,male,"Netral, teknis"
"Gala Bingo clubs bought for �241m: The UK's largest High Street bingo operator, Gala, is being taken over by��_ https://t.co/UFcWKDyenJ",male,"Berita finansial, formal"
Andddd I've lost count of how many times I've already watched the @AlmostAdultsMov trailer......someone help meeeeeeeeee,female,"Nada fangirl, ekspresif"
The Most Likely Next President Is Hillary Clinton https://t.co/nozHcHFmZy,male,"Politik, formal"
The rest of these workers are hating cause I do is chill and listen to music . Lol,male,"Nada santai, slang, maskulin"
@MJsDirtyDiana what if that person's fear of the outcome stops his or hers actions and words?,female,"Nada reflektif, filosofis"
@MattUKTweets let's be honest if she went to the average working class college they'd just tell her to piss off.,male,"Kasar, langsung, nada maskulin"
https://t.co/hgPOlLvMFQ One of the greatest unsolved mysteries of all time! #TheZodiacKiller. https://t.co/2erxlC1Ubw,male,"Kriminal/misteri, nada netral"
"@elliexcastle Fuck that, just stick the weeknd on repeat_���",male,"Kasar, musik, nada maskulin"
Photo: The Graveyard Book (Unabridged) - Neil Gaiman | Kids &amp; Young Adults |292061896: Neil Richard Gaiman... https://t.co/xMbPwuv7ux,male,"Referensi buku/anak muda, formal"
Vinod Khosla Steps Off Square�۪s Board In Advance Of Its IPO: ��Vinod Khosla has stepped down as director on the��_ https://t.co/FUOsN1q9SK,male,"Berita bisnis/IPO, formal"
@GodJoeyy limit the carbs? Damn,male,"Singkat, maskulin"
This would be the day that a permanent Valencia filter on my face would come in handy... _��_ yiza #nosleep,female,"Nada ekspresif, gaya feminim (self-image, filter)"
Blog me!  https://t.co/wk8hXd0hST  Even fat cat hates the Twin Cities commute! @MorningGrind950 https://t.co/eBQ82Sghkb,female,"Humor ringan, bisa netral tapi tone lebih feminim (ekspresif + self-branding)"
A Flash of Light: The Photographs of E.J. Kelty - Will Kelty | Classics |808897125 - See Kelty (company)... https://t.co/U145nW3k7I,male,"Seni/fotografi, formal"
Just agree on custody for the real dad and leave the kids alone for now. He hasn't been clean long enough. #DrPhil  #CustodyDrama,female,"Nada serius, keluarga, lebih cenderung feminim (sensitif soal anak)"
Cant wait for Wednesdays game,female,excited
https://t.co/SiLSEuvXeA One of the greatest unsolved mysteries of all time! #TheZodiacKiller. https://t.co/w6jtUDVBC5,male,"Topik kriminal/misteri, nada maskulin"
Photo: Hover Disc 2 - The Essential Multiplayer Game Games Family iPad App ***** $0. ��_:... https://t.co/piTapsTzbj,male,"Game, teknis, nada maskulin"
This the only day I came to work without  getting mad _��_,male,"Nada santai, netral"
"Why do colour dying adverts always have young women in it saying ""see no grey hairs""

Who the hell has grey hairs at that age anyways !",female,"Komentar soal iklan rambut/grey hairs, topik feminim"
Number crunching for the past day - 1 new follower and NO unfollowers. Stats via https://t.co/Ka95HBPNQx,male,"Statistik/follower, nada maskulin"
"If you don't ask or try, the answer will always be no.",male,"Quote motivasi, nada maskulin"
My header I swear its the truth _��__ُ__�_�,female,"Ekspresif, nada lebih feminim"
What I would have given to been in the underground club scene in the 90s,male,"Musik/nostalgia, nada maskulin"
"@ZBierband YO ZBB, played our last seasonal gig at St. Jude.  Good times had by all.
Remember the more you drink, the better we sound!",male,"Musik, gaya maskulin"
Tvs scooty quintessential featured the two wheeler: jpTsx,male,"Produk/kendaraan, nada maskulin"
"I wish the real world, would just stop hassling me.",female,"Ekspresif, sedikit frustrasi."
@TheSmithMinute I just Googled it. The gum looks like big white sheets of paper!,male,"percakapan, berbagi pengetahuan"
Wheres the 8th man ? @Knickfan_4life,male,percakapan santai.
I hope Pierre Neuville wins the #wsop ME. love the way stands there like he's waiting for the guy he just busted to high five him.,female,"Ada pujian, nada positif dan berharap."
Why they had to be grimy &amp; not count the apple streams how dear they :(,female,"ekspresi emosi, sedikit kesal."
Fall is just across the street. ������_ٍ�_ٍ� https://t.co/CALsfk3RNL,female,"berbagi pengalaman, ekspresif, dengan emoji"
TOTAL FAIL! The Funniest People at Walmart https://t.co/vEz50al3V8 https://t.co/KqdI1u8WEI,female,"Ekspresif, penuh reaksi (TOTAL FAIL!)"
"""should only be disseminated where the express consent of all the parties involved has been obtained.""",male,"formal, legal, netral."
Recreate your turnout near the pitching performances in relation to dj stuttgart: aymZSj https://t.co/LiEVo3pyNX,male,"Gaya teknis, topik yang kurang jelas"
@ACroasdell do you really like to answer the oncers! you're amazing!,female,"Pujian, sedikit emosi positif."
"The Taming of the Queen (Unabridged) - Philippa Gregory | Romance |1023481763 - Philippa Gregory (Kenya, 9... https://t.co/dMy1uVct7I",female,"berbagi buku, referensi literatur"
Let the boy live _��� https://t.co/ghNmaHzRpk,female,"santai, ekspresif, ada emoji tawa."
Yeah work is not the move_���,female,"santai, percakapan, ekspresif dengan emoji."
Chilling on @CubeCraftGames in the selfie area ;) Been sweating out on EggWars all day! #bestgamemodever https://t.co/2a7jBOZEnr,male,"santai, berbicara tentang game, emoji, hashtag"
What if there was a winter version of the yamaka,male,"percakapan, berpikir terbuka, nada santai."
@Thomo_Grant same situation with how many times the big clubs play each other twice. #_�յ,male,"diskusi, percakapan ringan tentang topik olahraga."
Thanks for the retweets this week @SovereignPlc @Adfresco_Print much appreciated!,female,"Gaya terima kasih, percakapan ringan."
jk . im angry all the time about it . hint why i never hang out with you guys,female,"Ekspresi frustrasi, emosi jelas"
@Katsuraptor i really liked the first 2 ovas but then the third has hour long rape scene in hell and i was like uhhhh i think im out,female,Ekspresi keheranan dan perasaan pribadi
Huh. Supergirl airs today? Aaand now I got disturbing images of Jeb sitting in a snuggy in front of the TV with a box of Kleenex ready... D:,female,"bercanda, ada emoji ekspresif"
When you get your English classwork all done in the first day it's released _٪�_ُ__���,female,"Gaya santai, ekspresif, ada emoji."
Me when I take selfies v. Me when I look at the mirror https://t.co/uqYhcUi7Mu,female,"bercanda, ekspresif, sedikit humor"
@KatLouvain eternally grateful for the woo woos and missing my grubby puffle :(,female,"Ekspresi emosional, ada missing, tanda sedih"
Lauren Holiday retiring is going to hit me the most when they play the next game and she's not in the starting line up _���,female,"Ekspresi emosional, agak sedih dan berhubungan dengan olahraga."
No one wins in the misery Olympics @lvanderkam on tips from highly successful women. #3PercentConf,female,"Gaya serius, kritik sosial, membahas topik wanita sukses."
When the homies won't let you out of the group chat .... https://t.co/sszplkOuN2,male,"bercanda, percakapan ringan."
@rodimusprime is the site down for maintenance?,male,"Pertanyaan teknis, netral."
@ATTCares any way to get the phone shipped faster?,male,"Pertanyaan teknis, layanan pelanggan"
sometimes to get away from my family i just sit on the loo for four hours straight,female,"Gaya personal, sedikit humor."
This company wants to sponsor me and I've been putting them on hold with the promo work.  NOT because I don't like them I'm just busy rn,male,"Gaya bisnis, sedikit profesional, ada penjelasan"
But why do those easy exams cost so much! The praxis is cheaper. And to top it off I have to pay extra just to get certified lol.,male,"Gaya frustrasi, ada humor dengan lol"
@AskHobo because I told him you were telling the truth,male,"Gaya percakapan, respons ringan."
"How inflict cbse schools modern kolkata, noida and kochi, staff the relocating parents: eyB https://t.co/K4s00WiNUH",female,"Gaya teknis, topik akademis atau sistem pendidikan"
@TSMTheOddOne shoutout to the crt,male,"Gaya percakapan santai, sebutkan nama."
@bigevvy10 Agreed. It's also the last thing the Cowboys need right now considering how this season has gone thus far.,male,"analisis olahraga, diskusi tentang tim."
Love leaving my shopping on the top of my van and driving off. Seeing a loaf of bread and grapes rolling off my windscreen is a great laugh!,female,"cerita humor, pengalaman pribadi."
@JustMalcom M I need the herb_���,male,"santai, sedikit humor."
"I live for the nights I can't remember with people I won't forget _ٍ� @ Sherman Oaks, Los Angeles https://t.co/1XRSynHf8N",female,"Ekspresif, penuh emosi, ada emoji."
"A magnificent test flight of the scaled @WorldViewVoyage capsule. The entire test flight went perfectly, &amp; landing. https://t.co/3dLzi6NPYG",male,"informatif, profesional, netral."
There isn't ever enough time in the day for all of the homework they give you _���,female,"keluhan, ada ekspresi"
@lizziecaakes yeah ill send you the flier when i do it today:)  costume party,female,"percakapan santai, ringan."
@The_Ambassador_ you can't miss me lol https://t.co/6VYTOIv12c,male,"bercanda, sedikit humor."
@onedirection Favorite Duo or Group Pop/Rock at the #AMAs,female,"Gaya fan-favorite, ekspresif, berbicara tentang penghargaan"
"@drivendiabetic he said it because of my age, technically he's right I'm no spring chicken but still bounced back after my section",female,"Gaya pribadi, sedikit keluhan tapi ada kebanggaan"
@MIRACLECHARLIE Take those bags of candy and stick them in the freezer.  It will take you much longer to eat them.,male,"Gaya saran ringan, informal."
Business and my own boss 365 days in a year what a difference it makes we all get the same 24hr what are you doing with yours?,male,"Gaya motivasi, profesional, langsung ke inti."
@AlhenaSmile @markgatiiss Spectre Premiere at the Royal Albert Hall in London,male,"Gaya berbagi pengalaman, formal, berbicara tentang acara besar"
Me and The Goodmen Going Fuck Flowers Homecoming Up. _���_�ջ,female,"Ekspresif, penuh humor."
Don't do something for someone who ain't gonna do the same for you,male,"Nada bijak, nasihat."
"hi angel @NiallOfficial; i love all the tracks from #MadeInTheAM so far, they're amazing! i'm so proud, mind following lifesaver?  ���  12,301",female,"Ekspresif, penuh pujian, emoji."
@dirtysocks66 or ask the Jets as they blew a minute by not calling timeouts,male,"Gaya kritik ringan, berbicara tentang olahraga."
The Four Most Important Symptoms #ConcentrationProblems https://t.co/W7LP6KE2ii https://t.co/1TPpGtvDoo,male,"Gaya informatif, membahas topik medis."
"Using fresh herbs for cooking, fantastic teas, healing ailments? Grow your own herb garden and enjoy the rewards: https://t.co/5NP8GaPuDc",female,"Gaya berbagi informasi, lebih ke tips atau gaya hidup sehat."
1 for me. 25 for the people in line after me. Keep Calm and #rakattack ON! #yeg https://t.co/715MqX9TGI,male,"Gaya santai, berbagi pengalaman, sedikit humor."
The cookies look amazing _���,female,"gaya ekspresif, pakai kata sifat ""amazing"" + emotikon"
"Why don't all seventeen year old boys look like this, is the real question.  https://t.co/kyTkXOx5dI",female,"komentar soal penampilan laki-laki muda, biasanya gaya cewek fangirl"
@RealDiscoDonnie because we got one from something not so wonderful getting cancelled as well. So we just gonna get the original refund?,male,"gaya bahasa lebih datar, membicarakan refund"
@httph94 started from the bottom _���_���_��� known you for 13 years _��_,female,"pakai banyak emoji, ekspresif"
@BestCoast what size is the one you're wearing? I'm trying to figure the right size for me.,female,nanya soal size pakaian
I love the man God blessed me with to call daddy because he's the best father and husband to my mom,female,"ekspresif, sentimental tentang ayah"
"#SPECTREpremiere Dublin can't believe they didn't check the download, nothing in the file!! @Savoycinema#joke",male,topik film + masalah teknis file download
Go to the Sixers game on my birthday? #debate,male,basketball = Sixers
@VictoriaFalls_G I can't promise ALL the gossip...,female,topik gossip
Eminem Brought ���Mom�۪s Spaghetti�۪ Back For This Strange Basketball Commercial: Eminem helps the Detroit Pistons... https://t.co/6CRCb3RCuX,male,musik rap Eminem + basketball
"You hearing lies everyday, all you gotta do is turn on the tv.",male,"gaya bahasa lugas, kritik media, tone maskulin"
Experts split on likely Long-Range Strike Bomber winner: The US Air Force is poised to deliver the decision of... https://t.co/79TNzSDbcZ,male,topik militer/teknologi
@onedirection Favorite Duo or Group Pop/Rock at the #AMAs,female,fangirl-style tweet tentang One Direction
@AshKeeline &amp; I have absolutely the perfect girlfriend that I can possibly dream of,male,pria yang menuliskan tentang punya pacar perempuan
32 on me &amp; it's hotter then the sun_�մ_�մ,male,gaya bahasa bragging + slang
@LPNorthover @Aurum_Boss @LibDems we will at a point remember with fondness the liberal impact on Tory measures,male,topik politik
That's really all the explanation I need .,male,"kalimat pendek, straightforward, tone kaku"
The worst thing about liking someone is having to read their horoscope too,female,membahas horoscope (zodiak)
"@Eggelletion With all due respect, Sir. Puerto Rico is part of the US -- albeit, not willingly -- but, PR people are US citizens(!)",male,"gaya debat politik, formal"
@DumbCreationist There's NOTHING new in the paper or it would be pasted on every TV screen worldwide! It's the same unsubstantiated rot.,male,"tone konfrontatif, argumen"
@linzsportsit with the exception on @janesports and @cbrennansports the sports reporters I follow have been quiet which is disappointing.,male,topik sport
2 of 5 stars to The Rosie Project by Graeme Simsion https://t.co/PDs9If0yTC,female,review novel
Meacher's motion to delay has been voted through 307 -277 the contents have it.,male,isi politik/ voting parlemen
We gone show the world the definition of real.,male,gaya slang
"Check out the largest pink diamond to ever be auctioned, price tag starts at �15m https://t.co/Dr5VcvEZv0",female,topik diamond / lelang perhiasan
The only nudes he'll be getting are the colour schemes for my art,female,mengacu pada art + tone playful feminim
Why are there so many plant and animal species ? Book ���The Mystery of Origin of the Universe�۝ https://t.co/JC0vGn1QSW ��_ ��_ ��_ ��_ ��_ ��_,male,topik sains
"The odds of you being born: the exact time, place, to your specific parents, your DNA structure etc., is 1 in 4 trillion. 
You're lucky. _���_ُ_",female,inspiratif
@CuestionMarque Don't forget billions in subsidies given 2 wealthy farmers. At the same time slashing benefits 4 starving children.,male,topik ekonomi kebijakan
Pedro saying he's finding it hard at Chelsea because the football is different from Barca's...Everyone knows Chelsea bus parking football,male,topik bola
Seems like the closer I get to flying home������ it gets further away_��� mannnnn,female,"emoji , curhat"
First basketball season with a high school that's not Navarre,male,topuk olahraga basket
"@StrifeChaosPain The way of the nugget. If your a nugget, can I eat you?",female,candaan absurd
all the bs in my life i should be writing down!,female,"curhat tentang hidup, nada personal"
@steve228uk I think its even more shocking that talktalk didn't feel the need to encrypt their data regardless of whether they're obliged to,male,"topik keamanan data/IT, gaya argumen"
Always let the people who got to the bus stop before you get on first,female,"nada advice ringan, bukan argumen teknis"
@FlxWashington im bout to be by yu at the stu,male,"gaya slang, setting studio"
The counselor is in _٪�_ُ_ God is good. Dream job https://t.co/mICKo1rVgv,female,nada positif religius + job
wanna wear my real hair but the fact that its naturally curly kills me. _���,female,"topik rambut, self-image"
"@Harry_Styles
your beautiful voice never
fails to amaze me. i'm so
excited for the new album
mind following me please?
I love you_ٍ�_ٍ�_ٍ����171.065",female,fangirl tweet
Top 5 Independent #Watches Of The Year https://t.co/a0zHPR7Yaa https://t.co/nWON61Cioe,male,"topik jam tangan, gadget/aksesoris mahal"
@evey_gallardo youre pushing away the ones who actually gave a shit about you. I'll stop though don't even gotta trip but hey I'll be around,male,tone marah kecewa + confrontational
Eme RnB singer comes through with yet another catchy tune but this time around is the remix of his previously... https://t.co/jCJje7p9ux,male,promo musik
"their is an urgent matter dat needs the sincere attention of kano. our struggle is finally coming tru. we hv 2 meet 2moro, either b4 or aft",male,nada politik/struggle
Can't Fight The MoonLight With Lyrics https://t.co/rix04Ss2ky,female,"song lyric reference, nada ringan"
"@WEvansMusic @trevorhallmusic Loved having you and @trevorhallmusic in Columbia, Mo.  Soulful evening @the_blue_note, indeed.  Happy trails!",female,"gaya ekspresif, warm, personal"
So hard to convince someone to watch hollyoaks when the acting is as bad as tonight _���,female,komentar drama TV + nada personal
#longevity #secrets from around the globe https://t.co/IKkYPZn1hK,male,"nada headline, info sharing"
Prayers go out to Oklahoma State University cause last week 4 ppl died and 44 injured during the shooting at OSU homecoming parade.,female,gaya empatik + prayers
"@Tim_Muma @RamieIsTweeting people are choosing to eliminate the 1 season with the largest sample size. Also, Jordan comment was sarcasm",male,topik sport/statistik + debat
The Manobos of Mindanao by John M. Garvan https://t.co/UmEiApOX7H https://t.co/HcSoHcyO0Z,male,sharing academic/etnografi buku
The House of Lords has voted to delay the cuts to #taxcredits,male,"topik politik,berita"
"@nokesy95 No Head Phones Nokes... Thinks he can DJ without headphones bringing in the next track, high hats everywhere",male,DJ/music production slang
Andray Blatche playin' ball in China &amp; still got me blocked. I gave up the rights to the domain andrayblatchesucks dot com 2 yrs ago,male,olahraga basketball
Wen i try too sign in it says unable too sign in But i was just told that i needed the Play station plus@AskEASupport,male,"frustrasi, mengeluhkan masalah"
"No matter the cost, I will preach gospel void of African beliefs and man made doctrines.  I will refuse to put... https://t.co/1Z506HlkbT",male,"serius, topik religius, kuat dan tegas"
"@realjerryjones Greg Hardy is disrespectful and thuggish. It doesn't matter how good he is, you are damaging your Rep and the teams Rep",male,"Kritik, penuh emosi, opini pribadi"
Someone give me plans for the daaaaaay,female,"santai, mengajak percakapan, ekspresif."
@katmele_ ya get the fuck out my mentions,male,"kasar, sarkasme"
"1979 advertisement / flyer for the UNITS first 4 song, 7"" e.p. Art by Tom Bonauro.
Available as a reissue on FDH... https://t.co/NSRupPGyCt",male,"informatif, berbicara tentang musik dan seni"
"#Repost @kd_brand
��ȋ�ȋ��
The QUEEN gq_giftedqueen #kdbrand #wolfpackjacket shop https://t.co/dNONlxXlqA #dab��_ https://t.co/aZ3g9iPPaa",female,"Banyak emoji, gaya berbagi konten"
wait no this is the last episode of futurama oh no,female,"Ekspresi emosional, sedikit melankolis"
i'm super sensitive over the internet              if you call me silly via MSN i will die etc,female,"Ekspresif, emosi tinggi, penuh keprihatinan"
Paul Ryan and the fight for the GOP�۪s soul: If Ryan can co-opt half or more of the Freedom��_ https://t.co/73fdZXOA63,male,"Gaya analisis politik, topik serius"
Amazing: See Igbo Village In The United States Of��America https://t.co/xwwbKaPWw6 https://t.co/kBzoM1yPnm,male,"informatif, berbagi informasi"
The Digital Entrepreneur: The dream of building a business around digital products and services is as old as t... https://t.co/MOPQRr2CPb,male,"bisnis, topik profesional"
@NBA I play basketball to escape reality. Between the exercise and the diff personalities memories are made!,male,"santai, berbicara tentang olahraga, penuh semangat"
The back of the pumpkin me and Lily did. #Halloween #pumpkin #pumpkin carving https://t.co/3CsIaw4Zvz,female,"gaya berbagi pengalaman, sedikit informatif, ada hashtag"
"@Harry_Styles the words will never be strong enough for describe all the love, respect and admiration i feel for you...follow me pls? x8345",male,"pujian, sangat ekspresif, ada emoji"
The best picture Ive ever took. #OTRAbirmingham3 #OTRA @onedirection https://t.co/xOBnhWw0pW,female,"fangirl tweet, nada personal"
Here are the Apple Watch faces ranked worst to best #AppleWatchBands https://t.co/elrniztWnv https://t.co/1l7QMSJipp,male,topik gadget & review
#mungaab and his district leaders are gone. I hope the new mayor gets rid of those thugs and there is a wider representation.,male,bahas politik
"@AllanSchumacher @ExtraLife4Kids ""100% of the donations received go to the hospitals being supported."" absolutely fantastic!!",female,nada empatik + charity
"@FZSchools All thanks to the freshmen of the NHS band!
#creditwhereitsdue",female,ucapan terima kasih + nada suportif
"Using fresh herbs for cooking, fantastic teas, healing ailments? Grow your own herb garden and enjoy the rewards: https://t.co/c7jffML2s8",female,topik herbal/masak
Ugh everytime the main lead is with her I want them to end up together but when the second lead shows up too I like him just as much,female,nada nonton drama/romantis
"The tackles against our players, you'd swear somebody sent these teams to sabotage us.",male,komentar olahraga
"Yknow what, I'm so damn done. Want me, don't want me, I don't care, miss me or don't, don't care, cya later.",female,nada emosional personal
out of all the jackasses in the world I chose you. have an amazing day babe @TroyStickITin48. love black bird _٪� https://t.co/tB2FbujqBc,female,nada pacaran + panggilan sayang+ emoji
I have this crazy ass headache. Don't think I'm gonna hit the gym tonight...,male,nada casual + gym mention
The secret lies in our sense of wonder and beauty.,male,nada reflektif/soft
lol time warner cable is literally the worst,female,"nada keluhan santai, gaya ekspresif “literally the worst” sering muncul di female-coded tweet."
@UnbiasedSprtsFn Hosmer is the other guy I was thinking too. I agree with you 100%,male,"topik olahraga , gaya diskusi argumentatif"
Sometimes the wrong things lead us to the right places,female,"reflektif, kalimat lembut , optimistik"
"@Z100NewYork please let me attend the future now vip party tonight i love demi and nick #Z100FutureNow 
_���_���_���_���_���_���_���_���_���_���_��� x123",female,"permintaan manis, fangirl tone"
"@Natalia_Lach oh I know, it's not the first time that I drink it ;) I'm just out of most of my reserve bottles of alcohol :P :D",male,"gaya santai, topik alkohol, emoji wink"
He's played the game the whole year and still doesn't have a sausage of what's going on -@iClovah,male,komentar olahraga
"Okay, #YR is giving me a headache. One minute they hate Adam &amp; the next minute they are treating Adam like he is a saint. Make up you mind!",female,"komentar drama TV, emosi ekspresif"
"THE A-N-T-I-C-I-P-A-T-I-O-N. ""@LivecalmAfrica: We'll be dropping some fine images tomorrow noon _���""",male,"nada promosi, humor ringan"
the giants slow.,male,komentar olahraga singkat
@OneBADMAC @BillyCorben he wants the job. He's said it already and practically begs for it,male,"gaya to the point, debat"
Playboy's really stepped up the content now that they're not showing tits. https://t.co/zr3G935jlu,male,"topik majalah Playboy , nada sinis"
I cant spot the bs a mile away,male,"gaya tegas, ekspresi “bs” (bullshit)"
people at my school believe anything they hear which kills me the most _���,female,"nada emosional ,curhat personal"
"@davidfrum Ont Libs unpopular, Trudeau won Ont. Ont voters wudn't have cared. Just the same tripe coming from poor loser Cons. #cdnpoli",male,"topik politik, debat"
the honeymoon tour was a massive success..proud proud proud,female,"fangirl tone, nada positif"
Dead States: Remnant #Teen friends survive the future. #SHTF #TEOTWAWKI #survival #IARTG #SNRTG https://t.co/yAR6GTpdM8,male,promosi novel survival/action
When I was young the world it was smaller The cities were vast the buildings were taller,male,"gaya puitis klasik, nada reflektif"
#Lifestyle The line-up was officially announced on 18 December 2012.,male,berita
@IvandontcareH @amanda_shelton_ menninists don't respond to getting punched in the face very well,female,"nada sarkastik , respon ke “meninists”"
"Sometimes someone will ask how I've lost even more weight lately, and I'm always torn between lying to them and telling the truth.",female,"(topik body image, nada reflektif"
"@Maskinen92 @_WhatEven @RussianSnowball I meant on the website, like before we had access",male,"topik teknis, casual"
Lactose-free milk really does go bad when the date on the box says. Especially if you're using it for pasta. _���,female,nada ringan + keluhan dapur
The history of the HMMWV (Humvee) has ties with Jeep. #Watches,male,topik otomotif & militer
@miedoyficcion @SuperheroFeed people always want to see the negative lol it's just a film no need to make assumptions,male,"(nada damai, kalimat panjang dan empatik"
The New Yorker (All Access) Magazine https://t.co/uJ8XC4eMob $5 for 3 months TODAY on Amazon,male,"topik langganan majalah, nada promosi"
lmao this is fucking hilarious.. where is the popcorn,male,"gaya reaksi sarkastik , “lmao” , nada humor kasar"
Making the descent: Marines hone fast-roping skills - https://t.co/rhVvVlohny (press release) https://t.co/7xgsLsGqOx #usmc,male,topik militer
Hey @NerdHeardBen! Nerd points for nerding it out in WW2 dogfights while listening to the show? https://t.co/eY9ggGbXwA,male,"topik game/perang ,candaan nerd"
"Dunno wats worse, me waking into my sons room and he's doing ""waists movement"" for the TL or this  https://t.co/0057BOWKey",male,"gaya humor bapak-bapak , mention anak"
Mastering The Art Of French Cooking Julia Child 1970 Volume 2 Illust. Sid Coryn https://t.co/9pUk4g068x https://t.co/IB0HhzeYd5,female,"topik memasak, membahas buku Julia Child"
"SIBLING ABUSE, can hurt the identity and confidence of an adult; Special Therapy is need to recover. https://t.co/Nk6Hw8werZ",female,"topik psikologi , empatik"
The second reading was okay could've been better but some people said that it wouldn't be enough time for the teacher....,female,"topik sekolah , reflektif"
"it feels like winter in the mornings, summer in the middle of the day, and fall at night.. so how tf am i supposed to dress",female,"keluhan ringan tentang cuaca , gaya naratif"
THE MOONLIGHT ERA STARTS IN 4 DAYS #4DaysTilFocus https://t.co/y9EimyHL4w,female,"fangirl tone, capslock excitement."
Police upset technology means their dirt is now exposed for the world to see,male,"nada kritis/sinis , topik hukum/teknolog"
